Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
283640,2020-10-05 11:28:16,4155021259183870,fraud_Kling-Grant,grocery_net,38.46,Renee,Parrish,F,174 Jennifer Meadow Apt. 467,Mountain Park,OK,73559,34.7032,-98.9591,540,Research scientist (life sciences),1983-10-12,af0ba74248aef84c8c6e3571fe096567,1380972496,33.990504,-98.093128,0
428491,2020-12-03 23:10:39,180068353086472,fraud_Adams-Barrows,health_fitness,10.06,Melissa,Flores,F,7529 Carter Well Suite 262,Huntington Beach,CA,92648,33.6773,-118.0051,190249,"Therapist, horticultural",1976-09-17,24fce84dbc344bc97b89ecf8fd9e3503,1386112239,33.383140000000004,-118.839342,0
500565,2020-12-20 04:06:49,3538520143479972,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,148.81,Cassandra,Nunez,F,9572 Austin Forge Suite 612,Clay Center,OH,43408,41.5686,-83.3632,269,Insurance underwriter,1965-09-15,65f3426b710cab90d1c8a8a82cd8e7e2,1387512409,41.570074,-82.926334,0
167225,2020-08-18 15:00:38,3502088871723054,"fraud_O'Reilly, Mohr and Purdy",home,13.57,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,1976-09-08,a55028413e4104bcbe0b5992fd9324dd,1376838038,39.162243,-76.344863,0
341743,2020-10-31 01:04:30,4469777115158234880,fraud_Smitham-Boehm,grocery_net,26.4,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,1980-11-22,927358f95c0081d75815b9db6e8df861,1383181470,43.133488,-71.769613,0
89733,2020-07-21 22:54:53,3531129874770000,fraud_O'Connell-Ullrich,home,47.22,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",1975-07-13,cb6cad3d22ca519c6ebf204ae43d8e19,1374447293,43.924619,-72.981697,0
333203,2020-10-26 22:15:26,4789911625179723,fraud_O'Hara-Wilderman,food_dining,109.99,Dorothy,Zuniga,F,77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",1988-04-27,4ce4a8b82d9e7fcb33aeb408c0316709,1382825726,40.140318,-72.478553,0
259724,2020-09-24 21:33:05,4635330563105903,"fraud_O'Reilly, Mohr and Purdy",home,26.1,Christina,Rose,F,1984 Taylor Island Suite 836,Falls Church,VA,22046,38.8856,-77.1802,116155,Chartered accountant,1983-07-10,2a3c85f758ce77f79f0ec03a101dc60b,1380058385,39.280955,-76.86952600000001,0
145333,2020-08-10 22:23:22,4682744518117239,fraud_Schulist Ltd,food_dining,16.48,Gregory,Webster,M,66035 Benjamin Villages,Syracuse,MO,65354,38.6547,-92.8929,628,"Radiographer, diagnostic",1961-12-18,65cbf4c7b75d4982067cf2c0e0e07201,1376173402,39.438678,-92.377769,0
278542,2020-10-03 11:56:02,180031190491743,fraud_Murray-Smitham,grocery_pos,219.46,Becky,Mckinney,F,250 Benjamin Hill Apt. 026,Mobile,AL,36617,30.7145,-88.0918,270712,"Surveyor, land/geomatics",1972-01-05,0c7b7dbac788616ab86fa2312ef7dd54,1380801362,30.726813,-88.279547,0
